title,company,location,description,category,created,salary_min,salary_max
Data Scientist,v4c.ai,India,"Overview: The Data Scientist supports the development and implementation of data models, focusing on Machine Learning, under the supervision of more experienced scientists, contributing to the team’s innovative projects. Job Description: Assist in the development of Machine Learning models and algorithms, contributing to the design and implementation of data-driven solutions. Perform data preprocessing, cleaning, and analysis, preparing datasets for modeling and supporting higher-level data sci…",IT Jobs,2025-08-13T09:09:15Z,,
Data Scientist,RevX,India,"Title: Data Scientist About RevX : Made for Growth, Built for App Marketers. RevX helps app businesses acquire and reengage users via programmatic to retain, monetize, and accelerate revenue. We're all about taking your app businesses to a new growth level. We rely on data science, innovative technology, and AI, and a skilled team, to create and deliver seamless ad experiences to delight your app users. That’s why RevX is the ideal partner for app marketers that demand trustworthy insights, a h…",IT Jobs,2025-08-09T11:54:10Z,,
Data Scientist,LTIMindtree,India,"Job Details: Experience - 4 to 12 yrs Mandatory Skills - Data Science, Classical Machine Learning, Python. Location - Mumbai, Pune, Bangalore, Chennai, Hyderabad and Kolkata location. Notice - Immediate to 30 days. Data Scientist Python and Notebooks Responsibilities We are seeking a talented Data Scientist to join our team and drive datadriven decisionmaking across our organization The ideal candidate will have a strong background in statistical analysis machine learning and data visualization…",IT Jobs,2025-07-26T08:47:35Z,,
Data Scientist,Careerwise,India,"Data Scientist- India Contract role- 12 months Work from home (anywhere in India) Day Rate- INR 15000/day (with 10% TDS per month) A senior Data Scientist with good experience with DataBricks and Azure is required for one of our global clients. Essentials: - NLP is good to have Fully proficient with the latest LLM design AI evaluation frameworks (transition from experiments AI production system) Need to measure the quality of AI flows Databricks/ AZURE Lang Chain, OpenAI, RAG Custom agentic flo…",IT Jobs,2025-08-10T08:53:21Z,,
Data Scientist,Careerwise,India,"Job Description: Responsibilities: Develop and implement data models and algorithms to solve complex business problems. Utilize Databricks to manage and analyse large datasets efficiently. Collaborate with cross-functional teams to understand business requirements and deliver data-driven insights. Design and build scalable data pipelines and ETL processes. Perform data exploration, preprocessing, and feature engineering. Conduct statistical analysis and machine learning model development. Commu…",IT Jobs,2025-08-04T17:20:29Z,,
Data Scientist,Voiceback Analytics Pvt. Ltd,"Ahmedabad, Gujarat","We are looking for driven Data Scientist to join our team at Voiceback Analytics in Ahmedabad Experiece-6 to 1 Years Analyze raw data: assessing quality, cleansing, structuring for downstream processing Design accurate and scalable prediction algorithms Work closely with senior data scientists and engineers to implement end-to-end data science solutions. Generate actionable insights for business improvements Qualifications Bachelor's degree or equivalent experience in relevant field Deep unders…",IT Jobs,2025-08-12T09:27:16Z,,
Data Scientist,AB InBev GCC India,"Bangalore, Karnataka","AB InBev GCC was incorporated in 2014 as a strategic partner for Anheuser-Busch InBev. The center leverages the power of data and analytics to drive growth for critical business functions such as operations, finance, people, and technology. The teams are transforming Operations through Tech and Analytics. Do You Dream Big? We Need You. Job Title: Data Scientist Location: Bangalore PURPOSE OF ROLE The Data Scientist will play a key role in designing and delivering data-driven solutions that enab…",IT Jobs,2025-07-20T07:57:34Z,,
Data Scientist,AB InBev GCC India,"Bangalore, Karnataka","AB InBev GCC was incorporated in 2014 as a strategic partner for Anheuser-Busch InBev. The center leverages the power of data and analytics to drive growth for critical business functions such as operations, finance, people, and technology. The teams are transforming Operations through Tech and Analytics. Do You Dream Big? We Need You. Job Title: Data Scientist Location: Bangalore Reporting to: Senior Manager Analytics 1.Purpose of the role The Data Scientist will play a key role in designing a…",IT Jobs,2025-08-04T17:21:57Z,,
Data Scientist,MetLife,"Hyderabad, Telangana","Job Responsibilities Expert-level proficiency in at least one statistical tool language (R, Python) with a strong preference towards Python with excellent debugging skills Strong conceptual understanding of machine learning algorithms including linear regressions, classification algorithms, time series techniques, topic modeling etc. Good written, oral communication with ability to communicate effectively with stakeholders Basic to mid-level understanding of the insurance risk selection, underw…",IT Jobs,2025-07-26T08:46:57Z,,
Data Scientist,bp,"Pune, Maharashtra","Job Description: You will work with Being part of the refining Team of bp. These teams provides daily operational data management, data engineering and analytics support to this organization across a broad range of disciplines, applications and business requirements. Let me tell you about the role: A data scientist applies scientific methods, processes, algorithms, and systems to extract knowledge and insights from structured and unstructured data. Their key responsibilities include collecting …",IT Jobs,2025-07-20T07:57:26Z,,
Data Scientist,Andor Tech,"Bangalore, Karnataka","If you are passionate about data-driven problem-solving and can join immediately, we encourage you to apply. Position: Senior Data Scientist Availability: Immediate Joiner We are seeking a highly skilled professional with 6 years of experience in advanced data science and machine learning, ready for immediate deployment to our client location. Key Responsibilities: Develop, train, test, and deploy Machine Learning and Deep Learning models. Perform Exploratory Data Analysis (EDA) to derive actio…",IT Jobs,2025-08-13T09:09:29Z,,
Data Scientist,Recro,India,"✅ Must-Have Skills & Responsibilities  Cross-Functional Collaboration • Work closely with data scientists, data engineers, software engineers, data managers , and business stakeholders.  Product Building • Build scalable, reusable, and impactful data science products using statistical or machine learning algorithms . • Collaborate with engineers to bring models into production.  Data Analysis for Business Insights • Perform deep-dive data analysis to extract actionable insights for business dec…",IT Jobs,2025-07-26T08:47:13Z,,
Data Scientist,AB InBev GCC India,"Bangalore, Karnataka","AB InBev GCC was incorporated in 2014 as a strategic partner for Anheuser-Busch InBev. The center leverages the power of data and analytics to drive growth for critical business functions such as operations, finance, people, and technology. The teams are transforming Operations through Tech and Analytics. Do You Dream Big? We Need You. Job Description Job Title: Data Scientist – Predictive Forecasting Location: Bangalore Reporting to: Senior Manager Analytics 1) Purpose of the role We are seeki…",IT Jobs,2025-08-12T09:27:05Z,,
Data Scientist,Dexian India,India,"Job Title: Data Scientist – AI/ML & RAG Ontology Location: Remote Shift timings: 02:00 PM to 11:00 PM Overview: We are looking for a skilled Data Scientist with experience in AI/ML and RAG (Red-Amber-Green) ontology development to help build a domain-specific platform that reconciles policies and laws using technology. The solution will be implemented in Azure and designed to provide accurate, context-aware answers without relying solely on AI outputs. Key Responsibilities: Develop and implemen…",IT Jobs,2025-07-20T07:59:18Z,,
Data Scientist,Stealth Startup,India,"Job Title: Data Scientist Location: Remote Team: AI & Data Science Engagement: Full-Time Industry: Real Estate Tech / Smart Infrastructure Seniority: Mid to Senior-Level About Us We are a stealth-mode startup at the forefront of real estate transformation — where physical infrastructure meets digital intelligence. We’re on a mission to create autonomous, data-driven, and adaptive living environments by embedding AI across the value chain of urban development. Our work spans intelligent agent ec…",IT Jobs,2025-06-28T07:01:27Z,,
Data Scientist,Nexoria Techworks Inc.,"Bangalore, Karnataka","Data Scientist About the Role We are hiring a Data Scientist with 2–3 years of experience to build predictive models, perform data analysis, and deliver actionable insights that drive business decisions. This role involves working with large datasets, building ML models, and visualizing data effectively. Responsibilities Collect, preprocess, and analyze structured and unstructured data Conduct exploratory data analysis (EDA) to identify patterns and insights Build predictive models using scikit…",IT Jobs,2025-08-09T11:54:06Z,,
Data Scientist,True North Marine an Accelleron Company,India,"We are looking for a dedicated, motivated, and highly skilled Data Scientist to join our team in India. This role is crucial in driving the development and dynamic updating of models using voyage data, engine benchmarks, and marine engineering principles. The successful candidate will build adaptive, interpretable models that update from voyage related data while incorporating deep domain understanding from naval engineering principles. Additionally, the role involves addressing challenges in d…",IT Jobs,2025-08-13T09:09:53Z,,
Data Scientist,Tata Consultancy Services,"Hyderabad, Telangana","Opportunity with TCS |AI Research / Data Scientist (Masters)| Greetings from TCS TCS is Hiring for AI Research / Data Scientist (Masters) Interview Mode: Virtual Required Total Experience: 10-17 years Work location: PAN India Must have: Master's degree in computer science/ data science/Statistics Excellent knowledge AI/ML including algorithm development In-depth knowledge in Data (collection, preparation, analysis, visualization) Hands-on experience in Python based development ML/Deep Learning/…",IT Jobs,2025-08-10T08:53:55Z,,
Data Scientist,Valiance Solutions,"Mumbai, Maharashtra","About the Role: We are looking for a Data Scientist with 2–3 years of experience to join our growing Industrial AI team. This role is ideal for someone who has worked on data science projects in the manufacturing, oil & gas, or utilities sector—particularly around asset reliability, predictive maintenance, and failure prediction. Exposure to Gen AI applications (e.g., document intelligence, knowledge retrieval) is highly desirable. You will be responsible for developing and deploying ML/AI solu…",IT Jobs,2025-08-09T11:51:17Z,,
Data Scientist,Tata Consultancy Services,"Hyderabad, Telangana","Sub:TCS Virtual Drive – Data Scientist Greetings from Tata Consultancy Services  TCS is hiring fo r Data Scientist Experience : 10-16 years Location: PAN India We are looking for a candidate with good experience in Machine Learning Modelling, Data Analysis & Pre-processing, Synthetic Data Generation. The candidate must be able to Develops and refines analytical methods using traditional machine learning to extract insights and build predictive models. Trains and validates ML models to solve bus…",IT Jobs,2025-08-10T08:54:41Z,,
